INSERT INTO Ciudadano (id, primer_nombre, segundo_nombre, primer_apellido, segundo_apellido, fecha_nacimiento, esta_vivo) VALUES
(1827163, 'Miguel', 'Salvador', 'Silla', NULL, '1955-05-08', TRUE),
(4507696, 'Mónica', 'Claudia', 'Bonaventura', 'Milei', '2006-12-20', FALSE),
(1222283, 'Claudia', 'Aixa', 'Torres', 'Cripto', '2005-07-15', FALSE),
(7986813, 'Mathias', NULL, 'Pérez', 'López', '1938-11-20', FALSE),
(1845256, 'Mario', NULL, 'Rodríguez', 'De Luque', '1936-12-09', TRUE),
(2781068, 'Jessica', NULL, 'Torres', NULL, '1997-06-27', FALSE),
(7539090, 'Thiago', NULL, 'Torres', NULL, '2011-06-20', TRUE),
(7060160, 'Vicente', 'Ricardo', 'Saldaño', NULL, '1953-11-17', TRUE),
(7926458, 'Melina', NULL, 'Kirchner', NULL, '1951-05-24', FALSE),
(2316040, 'Victoria', 'Abril', 'Correa', NULL, '1955-10-23', FALSE),
(7572602, 'Pablo', 'Matías', 'Martínez', 'Gómez', '1928-08-27', TRUE),
(6537736, 'Marisol', 'Tamara', 'Saldaño', 'Milei', '2007-08-14', FALSE),
(1541440, 'Lorena', NULL, 'Machado', 'Ramírez', '1972-10-19', TRUE),
(7008087, 'Brashan', NULL, 'Gómez', 'De Luque', '1927-08-02', TRUE),
(1483639, 'Carlos', NULL, 'Milei', NULL, '1992-02-26', FALSE),
(7023454, 'Sofía', 'Agueda', 'Rodríguez', NULL, '1967-03-27', FALSE),
(6104036, 'Kevin', 'Patricio', 'Acero', 'Torvalds', '1963-09-25', FALSE),
(7893792, 'Teo', NULL, 'Saldaño', 'Kirchner', '1932-12-01', TRUE),
(5930847, 'Paula', 'Daniela', 'Machado', 'Silla', '1935-10-09', FALSE),
(2041575, 'Alejandro', 'Yago', 'Milei', 'Kirchner', '1947-03-06', FALSE),
(2381814, 'Melina', NULL, 'Martínez', 'Mesa', '1990-09-17', FALSE),
(4365631, 'Lisandro', 'Vicente', 'Mesa', 'Correa', '2014-11-13', TRUE),
(4630459, 'Elías', 'Miguel', 'Acero', NULL, '1935-08-29', FALSE),
(3790663, 'Gustavo', NULL, 'Bonaventura', 'Acevedo', '1933-07-30', FALSE),
(7919812, 'Estefanía', 'Brisa', 'De León', 'Ramírez', '1963-06-03', TRUE),
(1226326, 'Juliana', NULL, 'Saldaño', 'Gómez', '2002-05-19', TRUE),
(2076747, 'Romina', 'Julieta', 'Kirchner', 'Acero', '1926-07-03', FALSE),
(1238537, 'Omar', 'Valentín', 'González', 'Rodríguez', '1970-01-14', FALSE),
(4340908, 'Aitana', 'Renata', 'Saldaño', NULL, '1941-09-21', TRUE),
(1963728, 'Daniela', NULL, 'De León', 'Machado', '1988-11-04', FALSE),
(2858604, 'Alfonso', 'Ramiro', 'Sánchez', NULL, '2009-03-03', FALSE),
(7111951, 'Olga', NULL, 'Kojima', 'Cripto', '2002-05-12', FALSE),
(6307173, 'Camila', 'Silvia', 'Mesa', 'Castillo', '1976-09-06', TRUE),
(1955452, 'Mariela', 'Florencia', 'Milei', 'Correa', '1980-04-01', TRUE),
(1202898, 'Patricio', 'Marcos', 'Cripto', 'Machado', '1985-06-24', TRUE),
(7212662, 'Federico', NULL, 'Flores', 'Sánchez', '1988-04-26', TRUE),
(4680302, 'Damián', NULL, 'Acero', NULL, '1952-01-11', TRUE),
(7354059, 'Rodrigo', NULL, 'De León', 'Torvalds', '1976-06-03', TRUE),
