INSERT INTO Ciudadano (id, primer_nombre, segundo_nombre, primer_apellido, segundo_apellido, fecha_nacimiento, esta_vivo) VALUES
(2692679, 'Javier', 'Renzo', 'Pomar', NULL, '1976-11-29', TRUE),
(7924408, 'Verónica', 'Silvia', 'Acero', 'López', '2018-08-21', TRUE),
(7602190, 'Wilfredo', NULL, 'De León', 'Rodríguez', '1986-05-20', TRUE),
(2526962, 'Alberto', NULL, 'Silla', NULL, '1950-01-15', TRUE),
(7963055, 'Nuria', NULL, 'Castillo', 'Pérez', '1976-08-20', TRUE),
(4610966, 'Juan', 'Gabriel', 'Martínez', NULL, '1997-10-10', TRUE),
(3934485, 'Consuelo', 'Mía', 'Acevedo', 'Correa', '1936-11-06', TRUE),
(5410858, 'Ricardo', NULL, 'Ramírez', 'De León', '1942-04-04', TRUE),
(6971084, 'Mario', 'Agustín', 'Kojima', 'Ramírez', '2015-09-19', TRUE),
(1003798, 'Malena', 'Serena', 'Castillo', 'Milei', '1934-05-11', TRUE),
(5126750, 'Claudia', 'Evelyn', 'Cripto', 'Machado', '2016-12-17', TRUE),
(7047451, 'Pamela', NULL, 'Castillo', NULL, '1932-09-07', TRUE),
(1749126, 'Maximiliano', 'Matias', 'López', 'Milei', '2023-09-02', TRUE),
(2850927, 'Jolanda', 'Mariela', 'Bonaventura', NULL, '1930-09-01', TRUE),
(6722321, 'Adolfo', NULL, 'De la Pradera Cálida', 'Acero', '2006-12-09', TRUE),
(3545516, 'Lidia', 'Melina', 'Mesa', 'Saldaño', '1933-02-19', TRUE),
(3742407, 'Leandro', 'Patricio', 'Castillo', NULL, '1999-03-08', TRUE),
(3785513, 'Clara', NULL, 'Correa', 'Pérez', '1949-08-30', TRUE),
(4016609, 'Orlando', 'César', 'Milei', NULL, '1991-10-06', TRUE),
(2945776, 'Valentino', 'Esteban', 'Sativa', 'Saldaño', '1990-04-12', TRUE),
(3928880, 'Leandro', NULL, 'Sativa', 'Silla', '2000-03-22', TRUE),
(2484108, 'Salvador', NULL, 'De Luque', NULL, '1972-11-08', TRUE),
(5011623, 'Brisa', 'Rosa', 'Torvalds', 'González', '1945-10-05', TRUE),
(7611633, 'Ana', NULL, 'González', 'Ramírez', '1957-07-11', TRUE),
(1023244, 'Sara', 'Beatriz', 'De León', 'González', '1963-03-20', TRUE),
(1118079, 'Inés', NULL, 'Machado', 'Sánchez', '1938-12-26', TRUE),
(5872929, 'Cecilia', 'Inés', 'Mesa', 'Flores', '1931-02-17', TRUE),
(3083688, 'Clara', NULL, 'Cripto', NULL, '1976-09-28', TRUE),
(3376392, 'Luz', NULL, 'Camión', NULL, '1943-05-13', TRUE),
(1653680, 'Nuria', 'Noelia', 'Correa', NULL, '2004-06-27', TRUE),
(4920154, 'Mía', 'Marta', 'Martínez', NULL, '1937-07-08', TRUE),
(7619630, 'Marisol', 'Jimena', 'Torvalds', 'Acero', '2020-05-15', TRUE),
(2158647, 'Emmanuel', NULL, 'Ramírez', 'Mesa', '1937-12-14', TRUE),
(4698678, 'Evelyn', 'Catalina', 'Bonaventura', 'González', '1973-11-12', TRUE),
(7277681, 'Tomás', 'Adolfo', 'De Luque', 'Bonaventura', '1962-09-25', TRUE),
(2291647, 'Kevin', 'Wilfredo', 'Bonaventura', NULL, '1976-06-16', TRUE),
(2810268, 'Nicolás', 'Eduardo', 'Silla', 'Cripto', '1976-08-10', TRUE),
(4024232, 'Bianca', 'Mariela', 'Gómez', 'Torvalds', '1993-04-02', TRUE),
(1390524, 'Luciano', NULL, 'Pérez', 'Camión', '1992-05-08', TRUE),
(5973610, 'Daniel', 'Bruno', 'Acevedo', 'González', '1957-04-01', TRUE),
(7991770, 'Andrea', NULL, 'Milei', 'López', '1968-11-20', TRUE),
(7437229, 'Pedro', 'Maximiliano', 'Silla', NULL, '1967-11-04', TRUE),
(1525478, 'Tomás', NULL, 'Ramírez', 'De Luque', '1984-07-06', TRUE),
(5010102, 'Fabián', NULL, 'De Luque', NULL, '1941-09-29', TRUE),
(2271624, 'Juan', NULL, 'Acevedo', 'Acevedo', '1954-03-09', TRUE),
(5381189, 'Guillermo', 'Joni', 'Milei', NULL, '2019-09-01', TRUE),
(4428877, 'Martina', 'Norma', 'Milei', 'Pérez', '2016-05-06', TRUE),
(3771583, 'Fabián', NULL, 'Pérez', 'De León', '1956-03-21', TRUE),
(1821845, 'Orlando', NULL, 'De la Pradera Cálida', 'Castillo', '1940-11-23', TRUE),
(3746637, 'Hugo', 'Santiago', 'De Luque', 'Castillo', '1962-05-23', TRUE),
(2743923, 'Leticia', 'Ivana', 'Kirchner', NULL, '1952-08-06', TRUE),
(2006006, 'Baltasar', 'Pablo', 'Torres', 'Saldaño', '1946-02-05', TRUE),
(7746164, 'Sebastián', NULL, 'Bonaventura', NULL, '1928-01-09', TRUE),
(1006121, 'Viviana', 'Mariela', 'Torvalds', 'Torres', '1954-07-04', TRUE),
(1595250, 'Rocío', NULL, 'Camión', 'Saldaño', '1988-08-07', TRUE),
(7396334, 'Milagros', 'Inés', 'Kirchner', 'Sánchez', '2013-12-29', TRUE),
(6995585, 'Marcos', 'Armando', 'Kirchner', 'De León', '1992-02-21', TRUE),
(7497488, 'César', 'Axel', 'Camión', 'Milei', '1970-03-02', TRUE),
(1175908, 'Rubén', 'Nicolás', 'Acevedo', 'Bonaventura', '1997-01-29', TRUE),
(2146196, 'Irene', 'Andrea', 'Acevedo', 'Pérez', '2000-08-26', TRUE),
(1580920, 'Nadia', 'Silvana', 'Acero', 'Flores', '1996-09-27', TRUE),
(7244427, 'Luis', NULL, 'Saldaño', 'Ramírez', '1930-11-09', TRUE),
(1811370, 'Ariana', NULL, 'Silla', 'López', '1942-08-21', TRUE),
(4795380, 'Guillermo', NULL, 'Pérez', 'De la Pradera Cálida', '1997-03-07', TRUE),
(3910651, 'Agueda', 'Candelaria', 'Sativa', 'Bonaventura', '1943-02-06', TRUE),
(5358960, 'Kevin', 'Mauricio', 'Mesa', 'Ramírez', '1985-03-05', TRUE),
(6432342, 'Javier', 'Hugo', 'Castillo', NULL, '2004-08-03', TRUE),
(5542686, 'Agueda', NULL, 'Martínez', NULL, '2016-05-05', TRUE),
(7592018, 'Alfonso', 'Miguel', 'Martínez', NULL, '1961-05-17', TRUE),
(2869309, 'Juan', NULL, 'Acero', 'Silla', '1994-05-04', TRUE),
(7959418, 'Norma', 'Jolanda', 'Acevedo', NULL, '2016-02-27', TRUE),
(2448755, 'Marisol', 'Catalina', 'Sativa', 'Castillo', '1938-11-05', TRUE),
(6315285, 'Aixa', 'Aldana', 'Rodríguez', 'Pérez', '2014-10-12', TRUE),
(4640729, 'Kevin', NULL, 'Rodríguez', 'Cripto', '1946-02-15', TRUE),
(5998705, 'Teo', 'Vicente', 'Kirchner', 'De León', '2013-12-03', TRUE),
(1038237, 'Agueda', 'Norma', 'Acero', NULL, '1933-05-31', TRUE),
(1618267, 'Clara', 'Alicia', 'Camión', 'Acevedo', '2002-08-20', TRUE),
(7354562, 'Patricio', NULL, 'De León', NULL, '1944-01-05', TRUE),
(2915955, 'Claudia', NULL, 'González', NULL, '1957-08-21', TRUE),
(7242737, 'Esteban', 'Miguel', 'De la Pradera Cálida', 'Mesa', '2012-03-15', TRUE),
(5181008, 'Mónica', 'Rocío', 'Gómez', NULL, '1930-04-14', TRUE),
(2371834, 'Francisco', 'Mario', 'Acevedo', 'De León', '2016-11-22', TRUE),
(6407549, 'Fátima', 'Florencia', 'Camión', 'Rodríguez', '1997-02-08', TRUE),
(3770093, 'Norma', NULL, 'De Luque', 'De Luque', '1943-10-04', TRUE),
(2003208, 'Damián', NULL, 'Pomar', NULL, '1974-11-14', TRUE),
(7228966, 'Ricardo', 'Santiago', 'Mesa', 'Flores', '1991-07-23', TRUE),
(4829639, 'Gabriel', 'Daniel', 'Flores', 'Rodríguez', '1973-02-16', TRUE),
(2958815, 'Catalina', 'Malena', 'Milei', 'Torres', '2022-12-17', TRUE),
(2598344, 'Juan', 'Samuel', 'Martínez', 'Saldaño', '1989-03-14', TRUE),
(4096491, 'Maximiliano', 'Renzo', 'Castillo', NULL, '1961-03-14', TRUE),
(4468429, 'Omar', NULL, 'Saldaño', NULL, '1954-12-14', TRUE),
(3751791, 'Patricia', 'Sol', 'Torvalds', NULL, '1954-08-08', TRUE),
(5115765, 'Abril', NULL, 'Ramírez', NULL, '1959-10-07', TRUE),
(4991976, 'Fernanda', 'Josefina', 'Martínez', 'Kirchner', '2014-05-17', TRUE),
(6690887, 'Sandra', NULL, 'Kojima', NULL, '1968-11-16', TRUE),
(2906547, 'Ariadna', 'Emilia', 'Bonaventura', 'Martínez', '1929-11-08', TRUE),
(7091604, 'Ramiro', 'Valentino', 'Milei', NULL, '1953-06-22', TRUE),
(6073669, 'Fernando', 'Enzo', 'Milei', NULL, '1999-05-14', TRUE),
(5277571, 'Patricio', 'Ulises', 'Torres', 'Gómez', '2016-01-18', TRUE),
(2528410, 'Verónica', 'Eugenia', 'De la Pradera Cálida', 'De León', '1993-01-02', TRUE),
(6005157, 'Adolfo', 'Tomás', 'Torres', 'Torvalds', '2020-05-26', TRUE),
(6218805, 'Mara', 'Brisa', 'Rodríguez', 'De León', '1967-07-30', TRUE),
(5684149, 'Oscar', 'Mauro', 'De León', 'Kirchner', '1953-02-01', TRUE),
(6367560, 'Adolfo', 'Renzo', 'Acero', 'De León', '1968-04-02', TRUE),
(5161481, 'Maximiliano', NULL, 'Kirchner', 'Correa', '1950-12-28', TRUE),
(7563119, 'Emmanuel', NULL, 'De la Pradera Cálida', NULL, '1998-01-26', TRUE),
(3042937, 'Joaquín', NULL, 'Correa', 'Ramírez', '1992-04-19', TRUE),
(1633158, 'Emmanuel', 'Maximiliano', 'Acero', NULL, '1960-06-16', TRUE),
(1967401, 'Emilia', 'Marta', 'Sativa', 'Torvalds', '1947-12-13', TRUE),
(7912248, 'Ariana', NULL, 'González', 'Flores', '1932-08-04', TRUE),
(6364156, 'Omar', NULL, 'Kojima', 'López', '2019-04-22', TRUE),
(4126117, 'Mauro', 'Matias', 'Milei', 'Pérez', '2001-12-03', TRUE),
(5886546, 'Sergio', NULL, 'Mesa', NULL, '2022-01-30', TRUE),
(4361389, 'Pedro', NULL, 'Mesa', 'Ramírez', '1959-09-26', TRUE),
